STATE;STATENAME;ST_CASE;VE_TOTAL;VE_FORMS;PVH_INVL;PEDS;PERSONS;PERMVIT;PERNOTMVIT;COUNTY;COUNTYNAME;CITY;CITYNAME;DAY;DAYNAME;MONTH;MONTHNAME;YEAR;DAY_WEEK;DAY_WEEKNAME;HOUR;HOURNAME;MINUTE;MINUTENAME;NHS;NHSNAME;ROUTE;ROUTENAME;TWAY_ID;TWAY_ID2;RUR_URB;RUR_URBNAME;FUNC_SYS;FUNC_SYSNAME;RD_OWNER;RD_OWNERNAME;MILEPT;MILEPTNAME;LATITUDE;LATITUDENAME;LONGITUD;LONGITUDNAME;SP_JUR;SP_JURNAME;HARM_EV;HARM_EVNAME;MAN_COLL;MAN_COLLNAME;RELJCT1;RELJCT1NAME;RELJCT2;RELJCT2NAME;TYP_INT;TYP_INTNAME;WRK_ZONE;WRK_ZONENAME;REL_ROAD;REL_ROADNAME;LGT_COND;LGT_CONDNAME;WEATHER1;WEATHER1NAME;WEATHER2;WEATHER2NAME;WEATHER;WEATHERNAME;SCH_BUS;SCH_BUSNAME;RAIL;RAILNAME;NOT_HOUR;NOT_HOURNAME;NOT_MIN;NOT_MINNAME;ARR_HOUR;ARR_HOURNAME;ARR_MIN;ARR_MINNAME;HOSP_HR;HOSP_HRNAME;HOSP_MN;HOSP_MNNAME;CF1;CF1NAME;CF2;CF2NAME;CF3;CF3NAME;FATALS;DRUNK_DR
43;Puerto Rico;430068;1;1;0;1;1;1;1;72;PUERTO RICO (72);380;FAJARDO, FAJARDO;20;20;5;May;2018;1;Sunday;19;7:00pm-7:59pm;40;40;1;This section IS ON the NHS;4;County Road;CR-195;;2;Urban;3;Principal Arterial - Other;2;County Highway Agency;17;17;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;19;7:00pm-7:59pm;50;50;20;8:00pm-8:59pm;0;0;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430069;1;1;0;1;1;1;1;72;PUERTO RICO (72);200;CAROLINA;20;20;5;May;2018;1;Sunday;23;11:00pm-11:59pm;56;56;1;This section IS ON the NHS;4;County Road;CR-3;;2;Urban;3;Principal Arterial - Other;2;County Highway Agency;87;87;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;0;0:00am-0:59am;1;1;0;0:00am-0:59am;9;9;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430070;3;3;0;0;6;6;0;72;PUERTO RICO (72);90;ARECIBO;21;21;5;May;2018;2;Monday;22;10:00pm-10:59pm;0;0;1;This section IS ON the NHS;4;County Road;CR-2;;2;Urban;3;Principal Arterial - Other;2;County Highway Agency;671;671;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;12;Motor Vehicle In-Transport;6;Angle;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;99;Unknown;98;Unknown if Notified;99;Unknown EMS Scene Arrival Hour;98;Unknown if Arrived;99;Unknown;98;Unknown if Transported;0;None;0;None;0;None;2;0
43;Puerto Rico;430071;1;1;0;0;1;1;0;72;PUERTO RICO (72);980;TOA BAJA;25;25;5;May;2018;6;Friday;21;9:00pm-9:59pm;58;58;0;This section IS NOT on the NHS;4;County Road;CR-854;;1;Rural;4;Minor Arterial;2;County Highway Agency;40;40;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;25;Concrete Traffic Barrier;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;4;On Roadside;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;1
43;Puerto Rico;430072;1;1;0;0;1;1;0;72;PUERTO RICO (72);800;RINCON;27;27;5;May;2018;1;Sunday;21;9:00pm-9:59pm;1;1;0;This section IS NOT on the NHS;4;County Road;CR-412;;1;Rural;6;Minor Collector;2;County Highway Agency;7;7;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;35;Embankment;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;4;On Roadside;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;1
43;Puerto Rico;430073;1;1;0;1;1;1;1;72;PUERTO RICO (72);140;BAYAMON, BAYAMON;4;4;6;June;2018;2;Monday;3;3:00am-3:59am;20;20;0;This section IS NOT on the NHS;4;County Road;CR-862;;2;Urban;5;Major Collector;2;County Highway Agency;24;24;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;2;Dark - Not Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;3;3:00am-3:59am;20;20;3;3:00am-3:59am;27;27;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430074;1;1;0;0;1;1;0;72;PUERTO RICO (72);950;SN SEBASTIAN, SN SEBAST;13;13;3;March;2018;3;Tuesday;10;10:00am-10:59am;39;39;1;This section IS ON the NHS;4;County Road;CR-111;;1;Rural;3;Principal Arterial - Other;2;County Highway Agency;239;239;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;1;Rollover/Overturn;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;5;Outside Trafficway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;1
43;Puerto Rico;430075;1;1;0;1;1;1;1;72;PUERTO RICO (72);550;LAJAS;28;28;3;March;2018;4;Wednesday;7;7:00am-7:59am;41;41;1;This section IS ON the NHS;4;County Road;CR-116;;1;Rural;3;Principal Arterial - Other;2;County Highway Agency;36;36;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;8;Pedestrian;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;1;On Roadway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
43;Puerto Rico;430076;2;1;1;1;2;1;2;72;PUERTO RICO (72);170;CAGUAS;24;24;4;April;2018;3;Tuesday;21;9:00pm-9:59pm;40;40;1;This section IS ON the NHS;1;Interstate;I-52;;2;Urban;1;Interstate;1;State Highway Agency;168;168;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;14;Parked Motor Vehicle;0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;2;On Shoulder;3;Dark - Lighted;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;99;Unknown;98;Unknown if Notified;99;Unknown EMS Scene Arrival Hour;98;Unknown if Arrived;99;Unknown;98;Unknown if Transported;23;Indication of a Stalled/Disabled Vehicle;0;None;0;None;1;0
43;Puerto Rico;430077;1;1;0;0;1;1;0;72;PUERTO RICO (72);650;MAYAGUEZ;2;2;5;May;2018;4;Wednesday;10;10:00am-10:59am;20;20;0;This section IS NOT on the NHS;4;County Road;CR-CAMINO BECHARA;;1;Rural;7;Local;2;County Highway Agency;0;None;888.888;Not Available;8.888.888;Not Available;0;No Special Jurisdiction;42;Tree (Standing Only);0;Not a Collision with Motor Vehicle In-Transport;0;No;1;Non-Junction;1;Not an Intersection;0;None;5;Outside Trafficway;1;Daylight;1;Clear;0;No Additional Atmospheric Conditions;1;Clear;0;No;0;Not Applicable;88;Not Applicable (Not Notified);88;Not Applicable (Not Notified);88;Not Applicable;88;Not Applicable;88;Not Applicable (Not Transported);88;Not Applicable (Not Transported);0;None;0;None;0;None;1;0
